,from,to,weight
0,PRKACA,YES1,0.34323725033333335
1,MTOR,PRKACB,0.4983618938888889
2,PIK3CA,PLK1,0.08263388822222222
3,MAP2K1,TNK2,0.6103322684444444
4,PAK3,PRKACA,0.39322466577777776
5,AKT1_2,TNK2,0.13297077733333335
6,TNK2,YES1,0.2259658998888889
7,AKT1_2,PAK3,0.4571699345555555
8,MAP3K1,PLK1,0.0959917752222222
9,LATS1,MAP3K1,0.07328255922222222
10,PAK1,PLK1,0.03143661222222222
11,AKT1_2,PRKACB,0.4775214291111111
12,MINK1,PRKACA,0.09368513577777778
13,AKT1_2,MTOR,0.9471333965555555
14,AKT1_2,MINK1,0.8676812231111112
15,AKT1_2,PLK1,0.25551325166666666
16,MINK1,TTK,0.5817654458888889
17,LATS1,PRKACA,0.24962184088888892
18,MTOR,PRKACA,0.5612814897777778
19,PRKCI,TNK2,0.15824098366666664
20,CSNK1E,PIK3CA,0.24862410988888892
21,PAK3,PIK3CA,0.49834374544444443
22,AKT1_2,LATS1,0.5388476369999999
23,MTOR,PAK1,0.37900694199999996
24,PIK3CA,PRKCI,0.12572168022222222
25,LATS1,TTK,0.32623254700000004
26,PRKACA,TTK,0.153840173
27,PAK1,PAK3,0.05953492544444445
28,AKT1_2,RPS6KA2,0.29837479277777773
29,MAP2K1,PDGFRB,0.15268539055555555
30,MINK1,PIK3CA,0.5304478086666666
31,PAK1,YES1,0.2488730955555556
32,LATS1,MTOR,0.8295257921111111
33,CSNK1E,TNK2,0.10518520255555557
34,PAK3,TTK,0.49832635555555554
35,MTOR,PIK3CB,0.5237899237777778
36,LATS1,PLK1,0.32623254700000004
37,CSNK1E,PAK3,0.10991281666666668
38,MTOR,PIK3CA,0.9010399668888888
39,PIK3CA,RPS6KA2,0.12958598266666668
40,AKT1_2,PRKCI,0.3010384951111111
41,PIK3CA,PRKACA,0.47380616366666667
42,MAP2K1,MAP3K1,0.13690488466666664
43,MINK1,PAK3,0.29129416244444445
44,CSNK1E,PLK1,0.09352440133333334
45,AKT1_2,PIK3CB,0.5475331664444445
46,PLK1,RPS6KA2,0.06396539700000001
47,AKT1_2,MAP3K1,0.3498767672222222
48,PIK3CB,PRKACA,0.32623254700000004
49,PAK1,RPS6KA2,0.21092873244444443
50,MAP3K1,PRKACA,0.2701367278888888
51,PRKACA,TNK2,0.16497280977777778
52,MTOR,TNK2,0.16800199744444444
53,MTOR,TTK,0.7451141402222222
54,MAP3K1,PAK1,0.16259141911111114
55,CSNK1E,LATS1,0.037991868111111105
56,PIK3CB,TTK,0.32623254700000004
57,LATS1,PAK3,0.24919807344444445
58,MINK1,MTOR,0.4506335765555555
59,LATS1,PRKACB,0.38711502711111107
60,LATS1,YES1,0.07328255922222222
61,PRKACA,PRKACB,0.4470019302222222
62,LATS1,PRKCI,0.09407986277777779
63,AKT1_2,RPS6KB1,0.5364779133333334
64,AKT1_2,PRKACA,0.4837554055555555
65,AKT1_2,TTK,1.1532809286666665
66,CSNK1E,PAK1,0.0966821908888889
67,PDGFRB,PLK1,0.1032502678888889
68,PDGFRB,PIK3CA,0.188702056
69,PIK3CA,TNK2,0.22363738766666666
70,PIK3CA,TTK,0.908318445
71,MAP2K1,PIK3CA,0.3457437703333333
72,PRKACA,RPS6KA2,0.11364183077777779
73,LATS1,PDGFRB,0.06474982166666668
74,PAK1,PRKACA,0.21254322333333334
75,MAP3K1,TNK2,0.05328922466666666
76,LATS1,PAK1,0.22083735466666665
77,PRKCI,TTK,0.021724127444444446
78,MTOR,PAK3,0.4789440128888888
79,PLK1,TTK,0.3011799173333333
80,AKT1_2,CSNK1E,0.3306049801111111
